id,product_id,rating,date,summary,body,recommend,reported,reviewer_name,reviewer_email,response,helpfulness
1,1,5,2019-01-01,This product was great!,I really did or did not like this product based on whether it was sustainably sourced.  Then I found out that its made from nothing at all.,true,false,funtime,first.last@gmail.com,,8
2,1,4,2019-01-11,This product was ok!,I really did not like this product solely because I am tiny and do not fit into it.,false,false,mymainstreammother,first.last@gmail.com,,2
3,2,4,2019-06-23,I am liking these glasses,"They are very dark.  But that's good because I'm in very sunny spots",true,false,bigbrotherbenjamin,first.last@gmail.com,"Glad you're enjoying the product!",5
4,2,4,2019-03-12,They look good on me,I so stylish and just my aesthetic.,true,false,fashionperson,first.last@gmail.com,,1
5,2,3,2019-04-14,"I'm enjoying wearing these shades",Comfortable and practical.,true,false,shortandsweeet,first.last@gmail.com,,5
6,2,5,2019-06-16,"I'm not a fan!","I don't like them",false,false,negativity,first.last@gmail.com,"Sorry to hear. Is there anything in particular you don't like?",0
7,2,2,2019-05-23,This product was ok!,"They're fine but I wouldn't buy again.",false,false,anyone,first.last@gmail.com,,0
8,4,4,2019-03-21,These pants are fine,I do like these pants,true,false,shopaddict,first.last@gmail.com,,2
9,4,5,2019-02-18,These pants are great!,I really like these pants. Best fit ever!,true,false,figuringitout,first.last@gmail.com,,2
10,4,2,2019-01-05,These pants are ok!,A little tight on the waist.,false,false,bigbrother,first.last@gmail.com,,2
11,5,4,2019-05-04,Great shoes!,Now I can get to stomping!,true,false,chingy,first.last@gmail.com,,12
12,5,3,2019-04-13,"They're heavy but great",I like them but they run wide.,true,false,thinfootjim,first.last@gmail.com,,3
13,7,5,2018-12-13,Ye is good at everything,I mortgaged my house to pay for these,true,false,yecrazy,first.last@gmail.com,,2
14,7,1,2018-11-11,"I don't like Kanye","I didn't buy the shoes but I don't like the man behind them",false,true,taylor,first.last@gmail.com,,0
15,12,5,2019-04-11,Sed repellat quo recusandae.,Vitae reiciendis aspernatur voluptatem labore voluptatem ullam quos. Esse dolorum quas sunt unde est. Odio necessitatibus natus commodi at. Quia exercitationem aut quia sapiente harum et. Odit et hic nobis.,1,0,Pink.Purdy25,Donny.Jacobson11@yahoo.com,null,11
16,12,4,2019-05-18,Maiores explicabo debitis.,Assumenda debitis molestiae nisi ea fugit quia non nostrum aut. Tempore quo laudantium quisquam dolore at quam. Ducimus blanditiis qui ducimus explicabo aut reiciendis ut deserunt. Atque tempora rerum blanditiis ea nisi sint quia inventore. Nesciunt dolorum adipisci. Ipsa qui minima modi sunt.,1,0,Beaulah_Konopelski,Lonny98@gmail.com,null,6
17,12,5,2018-10-15,Et excepturi modi consequatur.,Cum ullam quaerat non quaerat ratione reprehenderit. Doloribus unde molestiae pariatur soluta. Ut quod dolorem consequuntur omnis iure quia. Enim autem qui fugit veniam quos. Occaecati qui aspernatur culpa facere sequi voluptatum doloremque quae. Corporis officia voluptatem deserunt.,1,0,Shany_Sawayn31,Dylan97@gmail.com,null,8
18,12,2,2019-06-08,In et cumque totam laudantium mollitia.,Harum dignissimos odio omnis accusamus. Illo et consectetur velit officiis quo autem sed. Voluptatibus harum rerum nihil. Laboriosam voluptatibus sequi cum ipsa. Et veniam consequatur. Accusamus aspernatur mollitia quia incidunt odio.,1,0,Charles.Senger,Ethelyn.Bechtelar11@hotmail.com,null,13
19,12,4,2019-01-06,Ut dolores fugit officiis id.,Natus est voluptas delectus. Sit possimus nihil labore eius doloremque laudantium sed accusamus doloremque. Et maiores ut autem illum quas similique non. Explicabo est illo atque voluptatum. Saepe dolorem eum consequatur qui et voluptatem eius explicabo.,1,0,Juston.Zboncak63,Tanner64@gmail.com,null,6
20,13,4,2019-01-25,Temporibus excepturi et mollitia rerum amet doloribus.,Porro voluptatum nihil dolorum aspernatur deleniti repudiandae. Vel et eligendi reiciendis fuga nesciunt. Ipsa optio repellendus alias quia. Molestiae ut et accusantium eius qui maxime. Facilis eum qui in. Laboriosam expedita quisquam aliquam voluptates eligendi quo non accusamus.,1,0,Charlene_Legros52,Jannie78@hotmail.com,null,20
21,13,4,2018-11-15,Quas tempore accusamus enim dolorem.,Deserunt autem occaecati veniam voluptatem optio eos magni dolores asperiores. Rerum est qui minima. Sapiente facere libero quis quae eveniet voluptates. Voluptatum quos praesentium eaque sint ut et. Suscipit et iste. Tenetur distinctio quisquam quidem at ipsa.,1,0,Tobin_Schimmel,Haven.Dickens@hotmail.com,null,5
22,13,3,2019-06-01,A deserunt magnam quasi fugiat fugiat suscipit aut neque dolorem.,Iusto aut quisquam. Rem error quam voluptas voluptatum. Dolor veritatis eligendi est nemo similique est alias.,1,0,Sammie67,Rosendo14@hotmail.com,null,11
23,13,5,2019-06-26,Molestiae unde accusamus.,Quia voluptatibus atque. Ea eius placeat. Officia ut ea odio numquam tempore fugit error iure esse. Est quam sit placeat sit quaerat labore qui.,1,0,Conrad_Dietrich,Judson.Braun@gmail.com,Excepturi qui reprehenderit sit dolorem rerum voluptatem laborum sequi quia.,14
24,13,5,2019-02-14,Sed ducimus est vero velit esse natus qui.,Illo nisi molestiae aut. Sapiente quod occaecati deleniti nesciunt ut saepe. Quibusdam omnis et asperiores quidem. Ab voluptatum accusantium ratione. Repudiandae eveniet cum et ad consequatur ipsam fuga nesciunt.,1,0,Kaleb_Cassin,Tad_Wiza84@hotmail.com,null,0
25,13,2,2019-03-18,Praesentium quidem optio.,Repellat ea ipsam aut aut. Minus explicabo consequuntur aspernatur. Dolor est inventore asperiores et quia. Quas voluptatem et. Alias excepturi et consequatur cupiditate aspernatur. Tempora quas ipsam iusto officiis.,1,1,Omer44,Maria.Jerde@yahoo.com,null,16
26,13,4,2018-10-02,Soluta et maxime nemo.,Tenetur aliquid est eos saepe sit incidunt et provident. Quasi consequuntur voluptatem at ex et officiis autem. Enim suscipit delectus quaerat adipisci quia expedita doloremque. Omnis cupiditate et molestias fugiat nisi optio alias.,1,0,Logan.Pfannerstill77,Ethel.Ruecker@gmail.com,Perferendis praesentium in exercitationem quae accusantium ea consequatur.,18
27,14,1,2019-01-17,In in porro eos explicabo tempora est dolorem qui consectetur.,Incidunt quo ut libero. Reiciendis nihil ratione aut ea sed odio eum. Voluptas suscipit eaque fugiat omnis error ut saepe ex omnis.,0,0,Maria85,Savannah.Frami@gmail.com,null,7
